,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,artist,song_title,target,Unnamed: 0
25,0.63,https://api.spotify.com/v1/audio-analysis/5aKUT8C4U33U24BjqjHbH4,0.648,117000,0.252,5aKUT8C4U33U24BjqjHbH4,0.719,10,0.0957,-20.822,0,0.327,81.123,4,https://api.spotify.com/v1/tracks/5aKUT8C4U33U24BjqjHbH4,audio_features,spotify:track:5aKUT8C4U33U24BjqjHbH4,0.359,Chill Children,Buoyant,1,
26,0.599,https://api.spotify.com/v1/audio-analysis/0WP2NBlIwgPnkzIWw7eTMN,0.522,70000,0.333,0WP2NBlIwgPnkzIWw7eTMN,0.257,0,0.28,-15.777,0,0.369,142.684,4,https://api.spotify.com/v1/tracks/0WP2NBlIwgPnkzIWw7eTMN,audio_features,spotify:track:0WP2NBlIwgPnkzIWw7eTMN,0.65,Sxmniak,Ayahuasca,1,
27,0.944,https://api.spotify.com/v1/audio-analysis/5tuJ4QwLV5xk16JQZcSb2O,0.497,127000,0.171,5tuJ4QwLV5xk16JQZcSb2O,0.523,10,0.0759,-16.965,1,0.056,99.039,4,https://api.spotify.com/v1/tracks/5tuJ4QwLV5xk16JQZcSb2O,audio_features,spotify:track:5tuJ4QwLV5xk16JQZcSb2O,0.0645,Sebastian Kamae,Last Stop.,1,
28,0.839,https://api.spotify.com/v1/audio-analysis/7GGTWE47TVBKpOQifTljZU,0.887,85714,0.203,7GGTWE47TVBKpOQifTljZU,0.691,8,0.118,-7.655,1,0.272,83.898,4,https://api.spotify.com/v1/tracks/7GGTWE47TVBKpOQifTljZU,audio_features,spotify:track:7GGTWE47TVBKpOQifTljZU,0.686,Kaizen 92,Bliss,1,
29,0.711,https://api.spotify.com/v1/audio-analysis/5vr5xkYPlYtdMtdPQbKXW4,0.545,96997,0.237,5vr5xkYPlYtdMtdPQbKXW4,0.898,0,0.269,-13.272,0,0.287,100.345,5,https://api.spotify.com/v1/tracks/5vr5xkYPlYtdMtdPQbKXW4,audio_features,spotify:track:5vr5xkYPlYtdMtdPQbKXW4,0.538,Bertholet,Same Detergent,1,
30,0.841,https://api.spotify.com/v1/audio-analysis/6wUDIvG1swx9ecmBBvO0ZR,0.811,73078,0.193,6wUDIvG1swx9ecmBBvO0ZR,0.929,7,0.113,-13.411,0,0.386,81.02,4,https://api.spotify.com/v1/tracks/6wUDIvG1swx9ecmBBvO0ZR,audio_features,spotify:track:6wUDIvG1swx9ecmBBvO0ZR,0.545,Wun Two,Sk8teing in Central Park,1,
31,0.565,https://api.spotify.com/v1/audio-analysis/6g01exIXDrTUIJ7obFiY3y,0.718,101901,0.252,6g01exIXDrTUIJ7obFiY3y,0.95,11,0.114,-10.62,1,0.0387,84.976,4,https://api.spotify.com/v1/tracks/6g01exIXDrTUIJ7obFiY3y,audio_features,spotify:track:6g01exIXDrTUIJ7obFiY3y,0.542,Too Ugly,I0000012,1,
32,0.742,https://api.spotify.com/v1/audio-analysis/3XQH5S5KqRoqXFaoalSzwD,0.641,92873,0.122,3XQH5S5KqRoqXFaoalSzwD,0.879,1,0.0591,-15.422,1,0.0644,137.803,3,https://api.spotify.com/v1/tracks/3XQH5S5KqRoqXFaoalSzwD,audio_features,spotify:track:3XQH5S5KqRoqXFaoalSzwD,0.0661,Priesemut,Lila Delphin,1,
33,0.27,https://api.spotify.com/v1/audio-analysis/64kgpFht771G8tH4P1nDoo,0.725,101647,0.73,64kgpFht771G8tH4P1nDoo,0.845,11,0.107,-3.625,0,0.126,170.063,4,https://api.spotify.com/v1/tracks/64kgpFht771G8tH4P1nDoo,audio_features,spotify:track:64kgpFht771G8tH4P1nDoo,0.22,Cookin Soul,Where's My Sunscreen,1,
34,0.989,https://api.spotify.com/v1/audio-analysis/32UHuK3zYkduJDRYOs9c6V,0.778,93659,0.102,32UHuK3zYkduJDRYOs9c6V,0.887,7,0.105,-21.175,0,0.0686,81.971,4,https://api.spotify.com/v1/tracks/32UHuK3zYkduJDRYOs9c6V,audio_features,spotify:track:32UHuK3zYkduJDRYOs9c6V,0.417,ElMari.,Friday,1,
