,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,artist,song_title,target,Unnamed: 0
21,0.439,https://api.spotify.com/v1/audio-analysis/7hwtxUMEKrwncnBzdszkMZ,0.576,224493,0.565,7hwtxUMEKrwncnBzdszkMZ,0.318,8,0.0991,-6.908,1,0.028,128.666,4,https://api.spotify.com/v1/tracks/7hwtxUMEKrwncnBzdszkMZ,audio_features,spotify:track:7hwtxUMEKrwncnBzdszkMZ,0.478,Sonny & The Sunsets,mutilator,1,
22,0.0489,https://api.spotify.com/v1/audio-analysis/2mGQ8gUdZNAbb3Bheq3NLr,0.582,392240,0.807,2mGQ8gUdZNAbb3Bheq3NLr,0.197,2,0.105,-6.929,1,0.0289,116.077,4,https://api.spotify.com/v1/tracks/2mGQ8gUdZNAbb3Bheq3NLr,audio_features,spotify:track:2mGQ8gUdZNAbb3Bheq3NLr,0.969,Sonny & The Sunsets,Lovin' on an Older Gal,1,
23,0.0256,https://api.spotify.com/v1/audio-analysis/28vLIXIsqYsR9KvxByYu0g,0.315,256872,0.821,28vLIXIsqYsR9KvxByYu0g,0.857,3,0.175,-7.033,1,0.0531,150.667,4,https://api.spotify.com/v1/tracks/28vLIXIsqYsR9KvxByYu0g,audio_features,spotify:track:28vLIXIsqYsR9KvxByYu0g,0.373,Pile,Pets,1,
24,0.174,https://api.spotify.com/v1/audio-analysis/6IHUTNaQoFYuMmOi0AeT7h,0.295,276373,0.354,6IHUTNaQoFYuMmOi0AeT7h,0.207,7,0.0954,-10.345,0,0.0312,141.716,4,https://api.spotify.com/v1/tracks/6IHUTNaQoFYuMmOi0AeT7h,audio_features,spotify:track:6IHUTNaQoFYuMmOi0AeT7h,0.0634,Pile,Dogs,1,
25,0.767,https://api.spotify.com/v1/audio-analysis/7GngvBFkspBIPX2blHmbOb,0.381,219787,0.254,7GngvBFkspBIPX2blHmbOb,0.408,1,0.108,-18.107,1,0.0334,117.375,4,https://api.spotify.com/v1/tracks/7GngvBFkspBIPX2blHmbOb,audio_features,spotify:track:7GngvBFkspBIPX2blHmbOb,0.204,Pile,Making Eyes,1,
26,0.0273,https://api.spotify.com/v1/audio-analysis/3kMGiMU4JiTvO2EECFt7l0,0.253,343067,0.486,3kMGiMU4JiTvO2EECFt7l0,0.812,8,0.101,-10.304,1,0.03,74.651,4,https://api.spotify.com/v1/tracks/3kMGiMU4JiTvO2EECFt7l0,audio_features,spotify:track:3kMGiMU4JiTvO2EECFt7l0,0.0732,Pile,Rope's Length,1,
27,1.27e-05,https://api.spotify.com/v1/audio-analysis/173BB6MceXb3oAu5bIm64V,0.348,188125,0.777,173BB6MceXb3oAu5bIm64V,0.036,7,0.284,-5.425,1,0.0317,105.988,4,https://api.spotify.com/v1/tracks/173BB6MceXb3oAu5bIm64V,audio_features,spotify:track:173BB6MceXb3oAu5bIm64V,0.496,Euphoria Again,Mickey Shoots Up,1,
28,0.147,https://api.spotify.com/v1/audio-analysis/6jvqaaUtBmcnxQnf5XKzFo,0.525,192028,0.635,6jvqaaUtBmcnxQnf5XKzFo,0.000114,5,0.122,-7.805,1,0.0239,82.445,4,https://api.spotify.com/v1/tracks/6jvqaaUtBmcnxQnf5XKzFo,audio_features,spotify:track:6jvqaaUtBmcnxQnf5XKzFo,0.668,Sugar Candy Mountain,Windows,1,
29,0.165,https://api.spotify.com/v1/audio-analysis/07AyOq04PxsuyvltiVdzYa,0.642,188600,0.642,07AyOq04PxsuyvltiVdzYa,0.000366,2,0.312,-9.127,1,0.0398,123.526,4,https://api.spotify.com/v1/tracks/07AyOq04PxsuyvltiVdzYa,audio_features,spotify:track:07AyOq04PxsuyvltiVdzYa,0.707,Sonny & The Sunsets,Teen Age Thugs,1,
30,0.0961,https://api.spotify.com/v1/audio-analysis/5op53ANI4exiWqFHKuwWxd,0.523,272507,0.477,5op53ANI4exiWqFHKuwWxd,0.000106,6,0.101,-9.076,1,0.0254,76.973,4,https://api.spotify.com/v1/tracks/5op53ANI4exiWqFHKuwWxd,audio_features,spotify:track:5op53ANI4exiWqFHKuwWxd,0.249,Modest Mouse,The World At Large,1,
31,0.0884,https://api.spotify.com/v1/audio-analysis/6kPKKwIpS3sRDJByPSQHri,0.464,144507,0.467,6kPKKwIpS3sRDJByPSQHri,0.0561,7,0.141,-9.688,1,0.0306,95.204,4,https://api.spotify.com/v1/tracks/6kPKKwIpS3sRDJByPSQHri,audio_features,spotify:track:6kPKKwIpS3sRDJByPSQHri,0.509,Modest Mouse,Dukes Up,1,
32,0.00395,https://api.spotify.com/v1/audio-analysis/2Z6LKuvQFQxXXYkKHw68NS,0.495,278293,0.728,2Z6LKuvQFQxXXYkKHw68NS,0.000528,7,0.0676,-7.797,1,0.0546,100.308,4,https://api.spotify.com/v1/tracks/2Z6LKuvQFQxXXYkKHw68NS,audio_features,spotify:track:2Z6LKuvQFQxXXYkKHw68NS,0.454,Modest Mouse,Interstate 8,1,
33,0.434,https://api.spotify.com/v1/audio-analysis/1pRV0P4jb57PHhPZEISj81,0.559,261333,0.491,1pRV0P4jb57PHhPZEISj81,0.0175,10,0.0708,-11.491,1,0.0818,74.319,4,https://api.spotify.com/v1/tracks/1pRV0P4jb57PHhPZEISj81,audio_features,spotify:track:1pRV0P4jb57PHhPZEISj81,0.2,Modest Mouse,Ionizes & Atomizes,1,
34,0.00463,https://api.spotify.com/v1/audio-analysis/2yQkUV0EEDMfHQ3BqkcrOa,0.394,374800,0.639,2yQkUV0EEDMfHQ3BqkcrOa,0.0152,6,0.111,-4.833,0,0.039,172.95,4,https://api.spotify.com/v1/tracks/2yQkUV0EEDMfHQ3BqkcrOa,audio_features,spotify:track:2yQkUV0EEDMfHQ3BqkcrOa,0.212,Modest Mouse,Cowboy Dan,1,
35,0.833,https://api.spotify.com/v1/audio-analysis/5qUxsld5bdqut4zm5dGuGI,0.395,173773,0.34,5qUxsld5bdqut4zm5dGuGI,4.37e-05,0,0.159,-6.66,1,0.0309,153.644,3,https://api.spotify.com/v1/tracks/5qUxsld5bdqut4zm5dGuGI,audio_features,spotify:track:5qUxsld5bdqut4zm5dGuGI,0.0749,Modest Mouse,Bankrupt on Selling,1,
36,0.0764,https://api.spotify.com/v1/audio-analysis/0WkhmPY4bLSi1Lvtw72jiO,0.491,349600,0.628,0WkhmPY4bLSi1Lvtw72jiO,0.00522,7,0.0618,-4.579,1,0.0347,163.619,4,https://api.spotify.com/v1/tracks/0WkhmPY4bLSi1Lvtw72jiO,audio_features,spotify:track:0WkhmPY4bLSi1Lvtw72jiO,0.714,Modest Mouse,Trailer Trash,1,
37,0.0063,https://api.spotify.com/v1/audio-analysis/6ccbDtihsiqqviUM0YqbUu,0.648,242933,0.522,6ccbDtihsiqqviUM0YqbUu,0.00106,0,0.223,-4.787,1,0.0305,81.515,4,https://api.spotify.com/v1/tracks/6ccbDtihsiqqviUM0YqbUu,audio_features,spotify:track:6ccbDtihsiqqviUM0YqbUu,0.365,Modest Mouse,Heart Cooks Brain,1,
38,0.296,https://api.spotify.com/v1/audio-analysis/6V0g1p7KaOzWc3wbjPlQuX,0.538,239133,0.566,6V0g1p7KaOzWc3wbjPlQuX,6e-06,7,0.12,-7.541,1,0.0848,82.234,4,https://api.spotify.com/v1/tracks/6V0g1p7KaOzWc3wbjPlQuX,audio_features,spotify:track:6V0g1p7KaOzWc3wbjPlQuX,0.424,Modest Mouse,3rd Planet,1,
39,0.694,https://api.spotify.com/v1/audio-analysis/3A4UV1tW9VbcXWvHoOYMqR,0.544,161333,0.315,3A4UV1tW9VbcXWvHoOYMqR,0.156,1,0.103,-12.019,0,0.0315,62.319,4,https://api.spotify.com/v1/tracks/3A4UV1tW9VbcXWvHoOYMqR,audio_features,spotify:track:3A4UV1tW9VbcXWvHoOYMqR,0.16,Modest Mouse,Perfect Disguise,1,
40,0.55,https://api.spotify.com/v1/audio-analysis/4R9ajHtzcR623rxK4zb7l5,0.367,104760,0.281,4R9ajHtzcR623rxK4zb7l5,0.0,7,0.129,-10.697,1,0.0384,199.144,4,https://api.spotify.com/v1/tracks/4R9ajHtzcR623rxK4zb7l5,audio_features,spotify:track:4R9ajHtzcR623rxK4zb7l5,0.643,Modest Mouse,Wild Packs of Family Dogs,1,
41,0.827,https://api.spotify.com/v1/audio-analysis/2ROQMg9bSzYg29qs0JLALO,0.561,198667,0.351,2ROQMg9bSzYg29qs0JLALO,1.99e-05,2,0.0928,-7.511,1,0.0307,78.955,4,https://api.spotify.com/v1/tracks/2ROQMg9bSzYg29qs0JLALO,audio_features,spotify:track:2ROQMg9bSzYg29qs0JLALO,0.351,Modest Mouse,Lives,1,
42,0.856,https://api.spotify.com/v1/audio-analysis/1fiE4wJ16gQkiWfPGPTfMC,0.469,318373,0.397,1fiE4wJ16gQkiWfPGPTfMC,0.436,7,0.147,-7.55,1,0.034,115.673,4,https://api.spotify.com/v1/tracks/1fiE4wJ16gQkiWfPGPTfMC,audio_features,spotify:track:1fiE4wJ16gQkiWfPGPTfMC,0.196,Modest Mouse,"Whenever You Breath out, I Breathe In (Positive Negative)",1,
43,0.0839,https://api.spotify.com/v1/audio-analysis/27QCaXOhT6qY0NT6tv5IZ6,0.622,254667,0.413,27QCaXOhT6qY0NT6tv5IZ6,0.00235,8,0.131,-9.975,1,0.0457,130.166,4,https://api.spotify.com/v1/tracks/27QCaXOhT6qY0NT6tv5IZ6,audio_features,spotify:track:27QCaXOhT6qY0NT6tv5IZ6,0.52,Modest Mouse,Bukowski,1,
44,0.304,https://api.spotify.com/v1/audio-analysis/2FgVVn5jX8lE7nSLnYKLhE,0.461,181507,0.675,2FgVVn5jX8lE7nSLnYKLhE,0.00711,7,0.132,-6.098,1,0.0659,186.183,4,https://api.spotify.com/v1/tracks/2FgVVn5jX8lE7nSLnYKLhE,audio_features,spotify:track:2FgVVn5jX8lE7nSLnYKLhE,0.423,Modest Mouse,One Chance,1,
